OLT_ALIAS,value
EMPTY,5
OLT_C300_ANDAHUAYLAS_10,2464
OLT_C300_AYACUCHO_44_F1,10713
OLT_C300_AYACUCHO_44_F2,726
OLT_C300_AZANGARO_6,1213
OLT_C300_BAGUA_CHICA_9,1170
OLT_C300_BAGUA_GRANDE_5,1002
OLT_C300_CAJABAMBA_5,1712
OLT_C300_CAMANA_13,2391
OLT_C300_CASMA_5,1357
OLT_C300_CERRO_DE_PASCO_10,4715
OLT_C300_CHACHAPOYAS_6,1309
OLT_C300_CHANCAY_10,1563
OLT_C300_CHEPEN_14,2809
OLT_C300_DESAGUADERO_4,613
OLT_C300_GUADALUPE_5,1781
OLT_C300_HUAMACHUCO_07,1777
OLT_C300_HUANTA_8,1205
OLT_C300_HUARMEY_10,1487
OLT_C300_JULIACA_54_F1,9478
OLT_C300_JULIACA_54_F2,4164
OLT_C300_JULI_4,385
OLT_C300_LA_MERCED_6,2640
OLT_C300_MAZAMARI_2,454
OLT_C300_MOQUEGUA_15,4273
OLT_C300_MOYOBAMBA_14,3068
OLT_C300_NAZCA_12,1858
OLT_C300_OLMOS_5,1405
OLT_C300_PACASMAYO_15,2561
OLT_C300_PISCO_24,3746
OLT_C300_PUERTO_MALDONADO_22,4755
OLT_C300_SATIPO_7,1470
OLT_C300_SICUANI_9,2924
OLT_C300_SURQUILLO_LAB,311
OLT_C300_TAMBO_GRANDE_5,1430
OLT_C300_TARAPOTO_46,5633
OLT_C300_TARMA_12,3752
OLT_C300_TOCACHE_2,1595
OLT_C300_VIRU_6,1628
OLT_C300_YURIMAGUAS_8,3317
OLT_C600_BARRANCO_25_F1,2748
OLT_C600_CHICLAYO_81,345
OLT_C600_CHORRILLOS_35_F1,583
OLT_C600_LINCE_32,248
OLT_C600_MAGDALENA_52_F1,3737
OLT_C600_PANDO-2,469
OLT_C600_SAN_JOSE_56,294
OLT_C600_SURQUILLO_PRO,57
OLT_C600_WASHINGTON_60,555
OLT_C610_ACOBAMBA_2,15
OLT_C610_ACOMAYO_1,7
OLT_C610_AGUAYTIA_7,14
OLT_C610_AIJA_3,5
OLT_C610_AMBO_2,4
OLT_C610_ANTABAMBA_2,14
OLT_C610_AYABACA_3,6
OLT_C610_BOLIVAR,7
OLT_C610_CABANA_2,1
OLT_C610_CAJATAMBO_1,8
OLT_C610_CANDARAVE_1,11
OLT_C610_CANGALLO_2,15
OLT_C610_CASCAS_1,7
OLT_C610_CASTROVIRREYNA_2,1
OLT_C610_CELENDIN_6,1
OLT_C610_CHACAS_1,8
OLT_C610_CHALHUANCA_2,4
OLT_C610_CHAVINILLO_1,10
OLT_C610_CHINCHEROS_2,11
OLT_C610_CHIQUIAN_4,2
OLT_C610_CHIVAY_3,14
OLT_C610_CHUQUIBAMBA_4,2
OLT_C610_CHUQUIBAMBILLA_2,7
OLT_C610_CHURCAMPA_3,3
OLT_C610_CONTUMAZA_1,17
OLT_C610_CORONGO_2,4
OLT_C610_COTAHUASI_2,11
OLT_C610_HUACAYBAMBA_1,9
OLT_C610_HUACRACHUCO_1,3
OLT_C610_HUANCABAMBA_4,5
OLT_C610_HUANCANE_5,5
OLT_C610_HUANCA_SANCOS_2,2
OLT_C610_HUARI_4,5
OLT_C610_HUAYTARA_2,4
OLT_C610_INAPARI_1,2
OLT_C610_IZCUCHACA_4,2
OLT_C610_JESUS_HUANUCO_1,8
OLT_C610_JULCAN_1,7
OLT_C610_JUMBILLA_1,5
OLT_C610_JUNIN_7,5
OLT_C610_LAMPA_2,7
OLT_C610_LAMUD_1,8
OLT_C610_LA_JOLLA_AS_1_F1,2
OLT_C610_LA_UNION_HUANUCO_2,4
OLT_C610_LIRCAY_6,11
OLT_C610_LLAMELLIN_1,8
OLT_C610_LLATA_2,8
OLT_C610_MACUSANI_2,15
OLT_C610_MOHO_2,9
OLT_C610_OCROS_1,7
OLT_C610_OMATE_1,5
OLT_C610_OYON_3,11
OLT_C610_PAMPAS_4,1
OLT_C610_PANAO_1,10
OLT_C610_PARURO_1,6
OLT_C610_PAUCARTAMBO_2,8
OLT_C610_PAUSA_2,11
OLT_C610_PICOTA_1,5
OLT_C610_PISCOBAMBA_1,11
OLT_C610_PUERTO_INCA_2,10
OLT_C610_PUQUIO_2,2
OLT_C610_PUTINA_2,11
OLT_C610_RODRIGUEZ_DE_MENDOZA_5,7
OLT_C610_SANDIA_2,10
OLT_C610_SANTIAGO_DE_CHUCO_1,11
OLT_C610_SANTO_TOMAS_1,9
OLT_C610_SAN_IGNACIO_6,2
OLT_C610_SAN_JOSE_DE_SISA_1,5
OLT_C610_SAN_LUIS_ANCASH_1,11
OLT_C610_SAN_MIGUEL_CAJ_2,8
OLT_C610_SAN_PABLO_4,11
OLT_C610_SIHUAS_4,17
OLT_C610_SUCCHUBAMBA_4,3
OLT_C610_TAMBOBAMBA_2,15
OLT_C610_TARATA_1,1
OLT_C610_TAYABAMBA_1,8
OLT_C610_URCOS_4,6
OLT_C610_VILCAS_HUAMAN_2,17
OLT_C610_YANAHUANCA_2,11
OLT_C610_YANAOCA_1,5
OLT_C610_YAURI_4,8
OLT_C610_YAUYOS_1,11
OLT_MA5600T_CAJAMARCA_62,10963
OLT_MA5600T_CHINCHAALTA_40,8130
OLT_MA5600T_PUCALLPA_52,8117
OLT_MA5600T_PUNO_43,3496
OLT_MA5800_ABANCAY_25,5308
OLT_MA5800_AREQUIPA_44,796
OLT_MA5800_AYAVIRI_7,973
OLT_MA5800_BAMBAMARCA_4,491
OLT_MA5800_BANOS_DEL_INCA_5,1237
OLT_MA5800_BARRANCA_16,4215
OLT_MA5800_BARRANCO_24,1524
OLT_MA5800_CAJAMARCA_62_F2,3365
OLT_MA5800_CALLAO_52,647
OLT_MA5800_CANETE_10,3294
OLT_MA5800_CASA_GRANDE_7,1836
OLT_MA5800_CAYMA_19,52
OLT_MA5800_CEDROS_DE_VILLA_2,834
OLT_MA5800_CHACARILLA_12,837
OLT_MA5800_CHORRILLOS_33,806
OLT_MA5800_CHORRILLOS_SG_34_F1,3546
OLT_MA5800_CHOTA_6,1017
OLT_MA5800_CHULUCANAS_8,1464
OLT_MA5800_CIUDAD_NUEVA_12,2767
OLT_MA5800_CONO_SUR_14,3630
OLT_MA5800_CUSCO_66,1051
OLT_MA5800_CUTERVO_8,1905
OLT_MA5800_EL_CERCADO_19,59
OLT_MA5800_EL_PINO_2,3
OLT_MA5800_EL_RETABLO_21,817
OLT_MA5800_HIGUERETA_39,5611
OLT_MA5800_HIGUERETA_41_F1,5516
OLT_MA5800_HIGUERETA_41_F2,446
OLT_MA5800_HIGUERETA_CQ_40_F1,5167
OLT_MA5800_HIGUERETA_CQ_40_F2,8141
OLT_MA5800_HUACHO_45,11617
OLT_MA5800_HUANUCO_50,8318
OLT_MA5800_HUARAL_30,4070
OLT_MA5800_HUARAZ_40,11235
OLT_MA5800_HUAURA_9,2131
OLT_MA5800_ILAVE_4,1112
OLT_MA5800_ILO_18,2922
OLT_MA5800_IMPERIAL_8,3335
OLT_MA5800_JAEN_17,4717
OLT_MA5800_LAS_CASUARINAS_7,395
OLT_MA5800_LAS_FLORES_3,358
OLT_MA5800_LAS_GARDENIAS_13,482
OLT_MA5800_LAS_LAGUNAS_17,239
OLT_MA5800_LAS_LAGUNAS_18_F1,4492
OLT_MA5800_LA_MOLINA_21,510
OLT_MA5800_LA_MOLINA_22_F1,7524
OLT_MA5800_LA_VICTORIA_42,17
OLT_MA5800_LINCE_31,3330
OLT_MA5800_LOS_FICUS_23,672
OLT_MA5800_LOS_OLIVOS_47,156
OLT_MA5800_LOS_ORGANOS_3,700
OLT_MA5800_LURIN_11,2
OLT_MA5800_MACARENA_4,587
OLT_MA5800_MAGDALENA_49,4748
OLT_MA5800_MAGDALENA_50_F1,7998
OLT_MA5800_MAGDALENA_51,6058
OLT_MA5800_MANCORA_8,989
OLT_MA5800_MIRAFLORES_66,1963
OLT_MA5800_MIRAFLORES_67,1461
OLT_MA5800_MIRAFLORES_68_F1,1034
OLT_MA5800_MONTERRICO_53,3155
OLT_MA5800_MONTERRICO_55_F1,1214
OLT_MA5800_MONTERRICO_LC_54_F1,6145
OLT_MA5800_NUEVA_CAJAMARCA_4,1174
OLT_MA5800_PAIJAN_5,1844
OLT_MA5800_PAITA_12,1996
OLT_MA5800_PAMPAINALAMBRICA_13,2180
OLT_MA5800_PARAMONGA_7,3457
OLT_MA5800_PATIVILCA_5,523
OLT_MA5800_PIURA_59,246
OLT_MA5800_PUCALLPA_52_F2,6975
OLT_MA5800_PUENTE_PIEDRA_3,219
OLT_MA5800_PUNO_47,3905
OLT_MA5800_QUERECOTILLO_4,1205
OLT_MA5800_QUILLABAMBA_7,1972
OLT_MA5800_RIMAC_3,922
OLT_MA5800_RIOJA_5,2373
OLT_MA5800_SAGITARIO_10,1526
OLT_MA5800_SANISIDRO_43,2608
OLT_MA5800_SANTA_CLARA_25,83
OLT_MA5800_SANTA_PATRICIA_2,5971
OLT_MA5800_SAN_BORJA_38,2688
OLT_MA5800_SAN_BORJA_39_F1,8730
OLT_MA5800_SAN_BORJA_39_F2,5004
OLT_MA5800_SAN_BORJA_40,3661
OLT_MA5800_SAN_BORJA_41_F1,505
OLT_MA5800_SAN_ISIDRO_44_F1,4848
OLT_MA5800_SAN_ISIDRO_44_F2,4582
OLT_MA5800_SAN_ISIDRO_46,4659
OLT_MA5800_SAN_ISIDRO_47_F1,3039
OLT_MA5800_SAN_ISIDRO_47_F2,118
OLT_MA5800_SAN_JOSE_55,3069
OLT_MA5800_SAN_JUAN_51,39
OLT_MA5800_SAN_MIGUEL_17,1104
OLT_MA5800_SAN_ROQUE_20,579
OLT_MA5800_SECHURA_4,1205
OLT_MA5800_SULLANA_48,9943
OLT_MA5800_TACNA_48,8007
OLT_MA5800_TALARA_23,5823
OLT_MA5800_TARAPOTO_46,6123
OLT_MA5800_TINGO_MARIA_12,4593
OLT_MA5800_TRUJILLO_60,1018
OLT_MA5800_TUMBES_30,5454
OLT_MA5800_URUBAMBA_6,1034
OLT_MA5800_VITARTE_44,50
OLT_MA5800_WASHINGTON_58,3157
OLT_MA5800_WASHINGTON_59_F1,4203
OLT_MA5800_X17_MAQUETA,502
OLT_MA5800_YARINACOCHA_8,2574
OLT_MA5800_YUNGUYO_4,1021
OLT_MA5800_ZARUMILLA_9,2091
P_OLT_C600_BARRANCO_1,1230
P_OLT_C600_CALLAO_1,3961
P_OLT_C600_CANTO_GRANDE_1,1178
P_OLT_C600_CEDROS_DE_VILLA_1,7133
P_OLT_C600_CEDROS_DE_VILLA_2,1302
P_OLT_C600_CHORRILLOS_1,6078
P_OLT_C600_CHORRILLOS_2,1177
P_OLT_C600_EL_RETABLO_1,1787
P_OLT_C600_HIGUERETA_1,2172
P_OLT_C600_HIGUERETA_2,698
P_OLT_C600_JOSE_GALVEZ_1,110
P_OLT_C600_LA_VICTORIA_1,5614
P_OLT_C600_LA_VICTORIA_2,525
P_OLT_C600_MARIATEGUI_1,594
P_OLT_C600_PRIMERO_DE_MAYO_1,5091
P_OLT_C600_PRIMERO_DE_MAYO_2,633
P_OLT_C600_SANTA_PATRICIA_1,5440
P_OLT_C600_SANTA_PATRICIA_2,221
P_OLT_C600_SANTA_ROSA_1,1099
P_OLT_C600_SAN_BORJA_1,3180
P_OLT_C600_SAN_ISIDRO_1,1709
P_OLT_C600_SAN_ISIDRO_2,1
P_OLT_C600_SAN_JOSE_1,5278
P_OLT_C600_SAN_JOSE_2,4383
P_OLT_C600_SAN_JOSE_3,3
P_OLT_C600_SAN_JUAN_1,7112
P_OLT_C600_SAN_JUAN_2,4959
P_OLT_C600_SAN_JUAN_3,806
P_OLT_C600_SAN_MIGUEL_1,5102
P_OLT_C600_SAN_MIGUEL_2,2419
P_OLT_C600_SAN_MIGUEL_3,257
P_OLT_C600_VILLA_EL_SALVADOR_1,3487
P_OLT_C600_VILLA_EL_SALVADOR_2,13
P_OLT_C600_VITARTE_1,6337
