latitude,longitude,tick,Company,radius,TROBA,CODIGO
-80.69602588,-4.914139,INC000001851601,TELEFONICA DEL PERU,8398514.14246464,BAG002,BAG0021107
-80.69530335,-4.900922664,INC000001850853,TELEFONICA DEL PERU,8398722.25007799,BAG002,BAG0021108
-80.69442203,-4.913239,INC000001852084,TELEFONICA DEL PERU,8398481.551996319,BAG002,BAG0021201
-80.69391664,-4.89528633,INC000001813959,TELEFONICA DEL PERU,8398778.612056442,BAG003,BAG0030101
-80.69291535,-4.894562489,INC000001842566,TELEFONICA DEL PERU,8398761.122029461,BAG003,BAG0030102
-80.68878148,-4.90349,INC000001843211,TELEFONICA DEL PERU,8398481.566219917,BAG003,BAG0030103
-80.6835324,-4.908013158,INC000000832964,TELEFONICA DEL PERU,8398245.042347524,BAG003,BAG0030104
-80.68329328,-4.893449411,INC000001850519,TELEFONICA DEL PERU,8398491.463490965,BAG003,BAG0030105
-80.68295625,-5.1736555,INC000001851690,TELEFONICA DEL PERU,8393604.893814953,BAG003,BAG0030106
-80.6827757,-4.90195733,INC000001849835,TELEFONICA DEL PERU,8398327.752639603,BAG003,BAG0030107
-80.68253121,-4.903906324,INC000001849732,TELEFONICA DEL PERU,8398286.463788172,BAG003,BAG0030208
-80.6824975,-5.2779335,INC000001852314,TELEFONICA DEL PERU,8391777.749879977,BAG003,BAG0030209
-80.68166822,-5.1846705,INC000001849897,TELEFONICA DEL PERU,8393373.948540917,BAG003,BAG0030210
-80.6807352,-4.8961761,INC000001849317,TELEFONICA DEL PERU,8398367.136474786,BAG003,BAG0030211
-80.68019785,-5.26420091,INC000001848062,TELEFONICA DEL PERU,8391945.805772746,BAG003,BAG0030212
-80.67997327,-4.89945989,INC000001850878,TELEFONICA DEL PERU,8398287.04460875,BAG003,BAG0030313
-80.67991464,-4.90047623,INC000001846335,TELEFONICA DEL PERU,8398267.57827694,BAG003,BAG0030314
-80.67937,-5.2682,INC000001852128,TELEFONICA DEL PERU,8391850.824663376,BAG003,BAG0030315
-80.678685,-5.26777136,INC000001852160,TELEFONICA DEL PERU,8391837.225794345,BAG003,BAG0030316
-80.67827702,-5.26825727,INC000001852075,TELEFONICA DEL PERU,8391816.236286683,BAG003,BAG0030317
-80.67797787,-4.90768104,INC000001850478,TELEFONICA DEL PERU,8398083.853102379,BAG003,BAG0030318
-80.67730278,-5.1766125,INC000001655058,TELEFONICA DEL PERU,8393380.676807966,BAG003,BAG0030419
-80.67706747,-5.26351003,INC000001852100,TELEFONICA DEL PERU,8391861.63570503,BAG003,BAG0030420
-80.67536891,-5.26564492,INC000001852243,TELEFONICA DEL PERU,8391772.306549761,BAG003,BAG0030421
-80.6750785,-5.266969,INC000001852313,TELEFONICA DEL PERU,8391740.346724719,BAG003,BAG0030422
-80.67488953,-5.26569162,INC000001852357,TELEFONICA DEL PERU,8391756.763613455,BAG003,BAG0030423
-80.67478636,-5.26163424,INC000001852315,TELEFONICA DEL PERU,8391824.185982239,BAG003,BAG0030524
-80.6745311,-4.889066393,INC000001434431,TELEFONICA DEL PERU,8398304.709072584,BAG003,BAG0030525
-80.67435,-5.265994,INC000001852263,TELEFONICA DEL PERU,8391734.923793899,BAG004,BAG0040101
-80.67429,-5.26350402,INC000001852228,TELEFONICA DEL PERU,8391776.404243466,BAG004,BAG0040102
-80.67388438,-5.26461945,INC000001852341,TELEFONICA DEL PERU,8391744.533411298,BAG004,BAG0040103
-80.67385854,-5.27207787,INC000001852212,TELEFONICA DEL PERU,8391613.963756619,BAG004,BAG0040104
-80.67322594,-5.26080625,INC000001852345,TELEFONICA DEL PERU,8391790.658201337,BAG004,BAG0040105
-80.6729204,-5.18317505,INC000001849676,TELEFONICA DEL PERU,8393132.495282434,BAG004,BAG0040106
-80.67245425,-4.88233084,INC000001782992,TELEFONICA DEL PERU,8398359.79413506,BAG004,BAG0040107
-80.67245425,-4.88233084,INC000001851383,TELEFONICA DEL PERU,8398359.79413506,BAG004,BAG0040208
-80.67168,-4.89198,INC000001841508,TELEFONICA DEL PERU,8398168.310433228,BAG005,BAG0050101
-80.67159268,-5.25994452,INC000001836848,TELEFONICA DEL PERU,8391755.486373898,BAG005,BAG0050102
-80.67145224,-4.90109119,INC000001840083,TELEFONICA DEL PERU,8398002.606015151,BAG005,BAG0050103
-80.67114621,-4.88921772,INC000000903711,TELEFONICA DEL PERU,8398200.449425103,BAG005,BAG0050104
-80.67036843,-5.2695795,INC000001851276,TELEFONICA DEL PERU,8391550.169436457,BAG005,BAG0050105
-80.667474,-5.261757,INC000001852287,TELEFONICA DEL PERU,8391597.422257615,BAG005,BAG0050106
-80.66432977,-5.1904455,INC000001254976,TELEFONICA DEL PERU,8392743.18780156,BAG005,BAG0050107
-80.66339552,-5.16555,INC000001797691,TELEFONICA DEL PERU,8393148.477814013,BAG005,BAG0050208
-80.659625,-5.188677,INC000001842664,TELEFONICA DEL PERU,8392630.141543342,BAG005,BAG0050209
-80.6574566,-5.23057821,INC000001851129,TELEFONICA DEL PERU,8391833.264307067,BAG005,BAG0050210
-80.65602837,-5.16270486,INC000001850779,TELEFONICA DEL PERU,8392973.159071269,BAG005,BAG0050211
-80.65477592,-5.19285307,INC000001225174,TELEFONICA DEL PERU,8392409.037963238,BAG006,BAG0060101
-80.650489,-5.199864,INC000001851992,TELEFONICA DEL PERU,8392155.599158345,BAG006,BAG0060102
-80.64987801,-5.19271308,INC000001841869,TELEFONICA DEL PERU,8392261.697863985,BAG006,BAG0060103
-80.64920005,-5.1998855,INC000001848543,TELEFONICA DEL PERU,8392115.791142838,BAG006,BAG0060104
-80.64917345,-5.198986,INC000001850833,TELEFONICA DEL PERU,8392130.675504383,BAG006,BAG0060105
