latitude_x,longitude_x,tick,Company,distance,longitude_y,latitude_y,TROBA,CODIGO
-81.1005496,-5.098401,INC000001844797,TELEFONICA DEL PERU,99.63805868432212,-77.0153959,-12.13904887,BAG002,BAG0020315
-81.09962445,-5.09051745,INC000001773376,TELEFONICA DEL PERU,99.64360137486997,-77.01576849,-12.13872569,BAG002,BAG0020316
-81.096217,-5.093849,INC000001850883,TELEFONICA DEL PERU,99.6393922825457,-77.01618933,-12.13836425,BAG002,BAG0020317
-81.09324026,-5.09194539,INC000001846138,TELEFONICA DEL PERU,99.6391673107483,-77.01623603,-12.1377468,BAG002,BAG0020418
-81.06091577,-4.10785809,INC000001849318,TELEFONICA DEL PERU,100.32954069045775,-77.01617373,-12.13781191,BAG002,BAG0020419
-8067796953.0,-517823202.0,INC000001840944,TELEFONICA DEL PERU,8084397829.630892,-77.01466118,-12.13869141,BAG002,BAG0021001
-8065300802.0,-5192687.0,INC000001638869,TELEFONICA DEL PERU,8065302461.416814,-77.01466641,-12.13867853,BAG002,BAG0021002
-8064052918.0,-518144648.0,INC000001848429,TELEFONICA DEL PERU,8080682091.567028,-77.01467941,-12.1386732,BAG002,BAG0021003
-8016362723.0,-509751748.0,INC000001849565,TELEFONICA DEL PERU,8032553633.693347,-77.01469249,-12.13867834,BAG002,BAG0021004
-8016207781.0,-509723984.0,INC000001850197,TELEFONICA DEL PERU,8032397242.100566,-77.01469792,-12.13869114,BAG002,BAG0021005
-80.82349867,-5.55437054,INC000001850108,TELEFONICA DEL PERU,99.11699480547294,-77.01469269,-12.13870401,BAG002,BAG0021006
-80.823284,-5.558229,INC000001848490,TELEFONICA DEL PERU,99.11405116649554,-77.01467968,-12.13870935,BAG002,BAG0021007
-80.82247033,-5.56000567,INC000001852343,TELEFONICA DEL PERU,99.11220055281693,-77.0146666,-12.1387042,BAG002,BAG0021008
-80.82209712,-5.55658699,INC000001843053,TELEFONICA DEL PERU,99.11439844088046,-77.01480747,-12.1388626,BAG002,BAG0021101
-80.82040758,-5.5658325,INC000001847873,TELEFONICA DEL PERU,99.1065730923684,-77.01481161,-12.138851,BAG002,BAG0021102
-80.81539402,-5.568285,INC000001852142,TELEFONICA DEL PERU,99.10134281473938,-77.01482258,-12.13884478,BAG002,BAG0021103
-80.81304076,-5.56110361,INC000001842532,TELEFONICA DEL PERU,99.10489720104707,-77.01483491,-12.13884668,BAG002,BAG0021104
-80.709587,-4.905735,INC000001850368,TELEFONICA DEL PERU,99.5071283258382,-77.01484306,-12.1388562,BAG002,BAG0021105
-80.69748689,-4.9077958,INC000001772762,TELEFONICA DEL PERU,99.49728857839274,-77.01484315,-12.13886849,BAG002,BAG0021106
-80.69602588,-4.914139,INC000001851601,TELEFONICA DEL PERU,99.49167247306652,-77.01483514,-12.13887813,BAG002,BAG0021107
-80.69530335,-4.900922664,INC000001850853,TELEFONICA DEL PERU,99.50074247857198,-77.01482285,-12.13888021,BAG002,BAG0021108
-80.69442203,-4.913239,INC000001852084,TELEFONICA DEL PERU,99.49120535930662,-77.01481178,-12.13887414,BAG002,BAG0021201
-80.69391664,-4.89528633,INC000001813959,TELEFONICA DEL PERU,99.51052811156258,-77.02037383,-12.13505902,BAG003,BAG0030101
-80.69291535,-4.894562489,INC000001842566,TELEFONICA DEL PERU,99.51058775492741,-77.02081537,-12.13519718,BAG003,BAG0030102
-80.68878148,-4.90349,INC000001843211,TELEFONICA DEL PERU,99.50151833974573,-77.02130501,-12.13535042,BAG003,BAG0030103
-80.6835324,-4.908013158,INC000000832964,TELEFONICA DEL PERU,99.49479842868095,-77.02232335,-12.1361679,BAG003,BAG0030104
-80.68329328,-4.893449411,INC000001850519,TELEFONICA DEL PERU,99.50523973326074,-77.02196357,-12.13571725,BAG003,BAG0030105
-80.68295625,-5.1736555,INC000001851690,TELEFONICA DEL PERU,99.30073438529404,-77.01979368,-12.13539409,BAG003,BAG0030106
-80.6827757,-4.90195733,INC000001849835,TELEFONICA DEL PERU,99.49763345249592,-77.02031869,-12.13555827,BAG003,BAG0030107
-80.68253121,-4.903906324,INC000001849732,TELEFONICA DEL PERU,99.4962673722896,-77.02074645,-12.13569619,BAG003,BAG0030208
-80.6824975,-5.2779335,INC000001852314,TELEFONICA DEL PERU,99.22592557084629,-77.02162776,-12.13596849,BAG003,BAG0030209
-80.68166822,-5.1846705,INC000001849897,TELEFONICA DEL PERU,99.2927470760064,-77.02193851,-12.13637993,BAG003,BAG0030210
-80.6807352,-4.8961761,INC000001849317,TELEFONICA DEL PERU,99.50081820006865,-77.02194154,-12.13668526,BAG003,BAG0030211
-80.68019785,-5.26420091,INC000001848062,TELEFONICA DEL PERU,99.232838827847,-77.01990562,-12.13623281,BAG003,BAG0030212
-80.67997327,-4.89945989,INC000001850878,TELEFONICA DEL PERU,99.49703134176278,-77.02033769,-12.13627749,BAG003,BAG0030313
-80.67991464,-4.90047623,INC000001846335,TELEFONICA DEL PERU,99.49610716181013,-77.02029616,-12.13644731,BAG003,BAG0030314
