longitude,latitude,TROBA,CODIGO,df_index
-1.3443151232878021,-0.21193780175776056,BAG804,BAG8040437,0
-1.346729491347293,-0.20585617475204998,ANG001,ANG0010102,1
-1.346729491347293,-0.20585617475204998,ANG001,ANG0010102,2
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,3
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,4
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,5
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,6
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,7
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,8
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,9
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,10
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,11
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,12
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,13
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,14
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,15
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,16
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,17
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,18
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,19
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,20
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,21
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,22
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,23
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,24
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,25
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,26
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,27
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,28
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,29
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,30
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,31
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,32
-1.3441211550741843,-0.2118799105827353,BAG001,BAG0010209,33
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,34
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,35
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,36
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,37
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,38
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,39
-1.3442092931542127,-0.2118342346180789,BAG002,BAG0020313,40
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,41
-1.3442092931542127,-0.2118342346180789,BAG002,BAG0020313,42
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,43
-1.3441669252866204,-0.21184870688823645,BAG002,BAG0020207,44
