OLT_ALIAS,value
EMPTY,1
OLT_C300_ANDAHUAYLAS_10,2442
OLT_C300_AYACUCHO_44_F1,10739
OLT_C300_AYACUCHO_44_F2,731
OLT_C300_AZANGARO_6,1220
OLT_C300_BAGUA_CHICA_9,1162
OLT_C300_BAGUA_GRANDE_5,998
OLT_C300_CAJABAMBA_5,1715
OLT_C300_CAMANA_13,2394
OLT_C300_CASMA_5,1361
OLT_C300_CERRO_DE_PASCO_10,4727
OLT_C300_CHACHAPOYAS_6,1312
OLT_C300_CHANCAY_10,1566
OLT_C300_CHEPEN_14,2826
OLT_C300_DESAGUADERO_4,611
OLT_C300_GUADALUPE_5,1775
OLT_C300_HUAMACHUCO_07,1763
OLT_C300_HUANTA_8,1205
OLT_C300_HUARMEY_10,1489
OLT_C300_JULIACA_54_F1,9453
OLT_C300_JULIACA_54_F2,4158
OLT_C300_JULI_4,382
OLT_C300_LA_MERCED_6,2641
OLT_C300_MAZAMARI_2,451
OLT_C300_MOQUEGUA_15,4247
OLT_C300_MOYOBAMBA_14,3061
OLT_C300_NAZCA_12,1851
OLT_C300_OLMOS_5,1406
OLT_C300_PACASMAYO_15,2577
OLT_C300_PISCO_24,3722
OLT_C300_PUERTO_MALDONADO_22,4747
OLT_C300_SATIPO_7,1471
OLT_C300_SICUANI_9,2909
OLT_C300_SURQUILLO_LAB,311
OLT_C300_TAMBO_GRANDE_5,1434
OLT_C300_TARAPOTO_46,5654
OLT_C300_TARMA_12,3755
OLT_C300_TOCACHE_2,1595
OLT_C300_VIRU_6,1623
OLT_C300_YURIMAGUAS_8,3290
OLT_C600_BARRANCO_25_F1,2792
OLT_C600_CHICLAYO_81,355
OLT_C600_CHORRILLOS_35_F1,585
OLT_C600_LINCE_32,252
OLT_C600_MAGDALENA_52_F1,3784
OLT_C600_PANDO-2,475
OLT_C600_SAN_JOSE_56,298
OLT_C600_SURQUILLO_PRO,58
OLT_C600_WASHINGTON_60,598
OLT_C610_ACOBAMBA_2,15
OLT_C610_ACOMAYO_1,7
OLT_C610_AGUAYTIA_7,14
OLT_C610_AIJA_3,5
OLT_C610_AMBO_2,4
OLT_C610_ANTABAMBA_2,14
OLT_C610_AYABACA_3,6
OLT_C610_BOLIVAR,7
OLT_C610_CABANA_2,1
OLT_C610_CAJATAMBO_1,8
OLT_C610_CANDARAVE_1,11
OLT_C610_CANGALLO_2,15
OLT_C610_CASCAS_1,7
OLT_C610_CASTROVIRREYNA_2,1
OLT_C610_CELENDIN_6,1
OLT_C610_CHACAS_1,8
OLT_C610_CHALHUANCA_2,4
OLT_C610_CHAVINILLO_1,10
OLT_C610_CHINCHEROS_2,11
OLT_C610_CHIQUIAN_4,2
OLT_C610_CHIVAY_3,14
OLT_C610_CHUQUIBAMBA_4,2
OLT_C610_CHUQUIBAMBILLA_2,7
OLT_C610_CHURCAMPA_3,3
OLT_C610_CONTUMAZA_1,17
OLT_C610_CORONGO_2,4
OLT_C610_COTAHUASI_2,11
